题干,题号,选项,答案,是否有图
这个标志是何含义？,q_PNHg-jFSWnuh,交叉路口|注意信号灯|注意行人|人行横道灯,注意信号灯,否
这个标志是何含义？,q_f4Mmyz-3RRSE,注意野生动物|注意牲畜|动物公园|开放的牧区,注意野生动物,否
这个标志是何含义？,q_9xubD_TEwIKy,大型畜牧场|野生动物保护区|注意野生动物|注意牲畜,注意牲畜,否
这个标志是何含义？,q_1RJH2dEuEc8t,人行横道|注意行人|注意儿童|学校区域,注意行人,否
这个标志是何含义？,q_e10rOdSQjAIZ,双向交通|分离式道路|潮汐车道|减速让行,双向交通,否
这个标志是何含义？,q_C3tn_U8cs_ZV,窄路|右侧变窄|左侧变窄|窄桥,窄桥,否
这个标志是何含义？,q_rqROE8geOuBY,避险车道|应急车道|路肩|急弯道,避险车道,否
这个标志是何含义？,q_gM_Aat5vR04a,Y形交叉口|主路让行|注意分流|注意合流,注意合流,否
这个标志是何含义？,q_J2agoheyzHXN,注意交互式道路|注意分离式道路|平面交叉路口|环形平面交叉,注意分离式道路,否
这个标志是何含义？,q_DuBdNaduY5On,注意保持车距|车距确认路段|车速测试路段|两侧变窄路段,注意保持车距,否
这个标志是何含义？,q_s960UXuYEwCG,注意双向行驶|靠两侧行驶|可变车道|注意潮汐车道,注意潮汐车道,否
这个标志是何含义？,q_ulU5eEK5xqns,隧道开远光灯|隧道减速|隧道开灯|隧道开示宽灯,隧道开灯,否
这个标志是何含义？,q_qjYBmmPFclVg,建议速度|最低速度|最高速度|限制速度,建议速度,否
这个标志是何含义？,q_tHptZ70kDkxU,塌方路段|施工路段|前方工厂|道路堵塞,施工路段,否
这个标志是何含义？,q_OYSouRxZFqnY,事故多发路段|减速慢行|注意危险|拥堵路段,注意危险,否
这个标志是何含义？,q_VvbPC8t-RNna,施工路段绕行|双向交通|注意危险|左右绕行,左右绕行,否
这个标志是何含义？,q_4RmE6wYK8QZe,施工路段|车多路段|慢行|拥堵路段,慢行,否
这个标志是何含义？,q_3iGkVQCOgXxM,施工路段|事故易发路段|减速慢行路段|拥堵路段,事故易发路段,否
这个标志是何含义？,q_HZx6C7Jj6DnP,注意残疾人|残疾人出入口|残疾人休息处|残疾人专用通道,注意残疾人,否
这个标志是何含义？,q_WWHLUCGbVaLt,避让非机动车|非机动车道|禁止非机动车通行|注意非机动车,注意非机动车,否
这个标志是何含义？,q_65bLc3wr1Zqr,距有人看守铁路道口150米|距无人看守铁路道口150米|距无人看守铁路道口100米|距有人看守铁路道口100米,距无人看守铁路道口150米,否
这个标志是何含义？,q_Xtoe_W-0CMBP,距无人看守铁路道口50米|距有人看守铁路道口50米|距无人看守铁路道口100米|距有人看守铁路道口100米,距无人看守铁路道口50米,否
这个标志是何含义？,q_vuqMU9x8J5SU,多股铁路与道路相交|有人看守铁路道口|无人看守铁路道口|注意长时鸣喇叭,无人看守铁路道口,否
这个标志是何含义？,q_mpniewjkr8Da,无人看守铁路道口|有人看守铁路道口|多股铁路与道路相交|立交式的铁路道口,有人看守铁路道口,否
这个标志是何含义？,q_S_h-c9VlQGI9,过水路面|渡口|泥泞道路|低洼路面,过水路面,否
这个标志是何含义？,q_oR3NMAm5tLbZ,路面高突|有驼峰桥|路面不平|路面低洼,路面低洼,否
这个标志是何含义？,q_63VFr-Blbh47,路面低洼|驼峰桥|路面不平|减速丘,减速丘,否
这个标志是何含义？,q_5OfqBXuwtAFB,连续上坡|上陡坡|下陡坡|连续下坡,连续下坡,否
这个标志是何含义？,q_SCynVvxE3L-T,向左急转弯|向右急转弯|向左绕行|连续弯路,向左急转弯,否
这个标志是何含义？,q_qadKzUf9HFX1,向左急转弯|向右急转弯|向右绕行|连续弯路,向右急转弯,否
这个标志是何含义？,q_RZTnrMdnDxWF,禁止机动车驶入|禁止停车|禁止三轮车驶入|禁止挂车、半挂车驶入,禁止挂车、半挂车驶入,否
这个标志是何含义？,q_i_vasPw0Dwqa,禁止电动自行车停车|禁止非机动车停车|禁止电动自行车进入|禁止非机动车进入,禁止电动自行车进入,否
这个标志是何含义？,q_xJGBELxSoay2,注意前方车辆排队|注意安全|机动车行驶|注意小型客车,注意前方车辆排队,否
