序号,题干,选项,来源,同一题干条数,记录ID,图片(待填路径),备注
339,图中交警手势的含义是（ ）。,靠边停车信号 | 减速慢行信号 | 变道信号 | 右转弯信号,题库缺图,4,q_pHf5k_5cR7N7,,
340,图中标志的含义是什么？,禁止机动车驶入 | 禁止运输危险品车辆驶入 | 禁止载货汽车驶入 | 禁止小型车辆驶入,题库缺图,4,q_2Phjz8P1jIpr,,
341,图中标志的含义是什么？,10t | 限制质量 | 限制轴重 | 限制速度,题库缺图,4,q_DryTWeVIEEI1,,
342,图中标志的含义是什么？,汽车拖、挂车驶入 | 禁止机动车驶入 | 禁止载货汽车驶入 | 禁止汽车拖、挂车驶入,题库缺图,4,q_3tYmOKQ8lMZq,,
343,图中标志的含义是什么？,载货汽车驶入 | 禁止载客汽车驶入 | 禁止载货汽车驶入 | 禁止机动车驶入,题库缺图,4,q_5U6vAlncqTSV,,
344,在下图所示的交通事故中，有关事故的责任认定，正确的说法是什么？,B车违反交通信号，所以B车负全责 | 车不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍左转车辆，所以A车负全责 | 右侧方向的车辆具有优先通权，故B车负全责,题库缺图,4,q_4wusJbDHrFbq,,
345,在下图所示的交通事故中，有关事故的责任认定，正确的说法是什么？,B车违反交通信号，所以B车负全A责 | 车不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍左转车辆，所以A车负全责 | 右侧方向的车辆具有优先通权，故B车负全责,题库缺图,4,q_i5848-POPEBQ,,
346,在下图所示的交通事故中，有关事故的责任认定，正确的说法是什么？,B车违反交通信号，所以B车负全A责 | 车不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍左转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故B车负全责,题库缺图,4,q_WrCFrhjXhktQ,,
347,在下图所示的交通事故中，有关事故的责任认定，正确的说法是什么？,B车违反交通信号，所以B车负全责 | B车不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍左转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故B车负全责,残缺队列,4,qi_item_hFGTFlcvyM7Q,,
348,如图所示，机动车在高速公路上因故障无法移动、停在行车道上时，驾乘人员应在哪个位置等待救援？,图中位置B | 图中位置A | 图中位置,题库缺图,4,q_8RXvNWo7JYnK,,
349,如图所示，机动车在高速公路上因故障无法移动、停在行车道上时，驾乘人员应在哪个位置等待救援？,图中位置BA | 图中位置AB | 图中位置,题库缺图,4,q_tk3X0HjnwKDq,,
350,如图所示，机动车在高速公路上因故障无法移动、停在行车道上时，驾乘人员应在哪个位置等待救援？,图中位置B | 图中位置A | 图中位置C | 图中位置D,题库缺图,4,q_jF8DReLKmk9a,,
351,如图所示，机动车在高速公路上因故障无法移动、停在行车道上时，驾乘人员应在哪个位置等待救援？,图中位置B | 图中位置A | 图中位置C,残缺队列,4,qi_item_PyGXvUlLjsRi,,
352,如图所示，直行车辆遇到前方路口堵塞，以下说法正确的是什么？,等其他机动车进入路口时跟随行驶 | 等前方道路疏通后，且信号灯为绿灯时方可继续行驶 | 可以直接驶入路口内等待通行 | 只要信号灯为绿灯，就可通,题库缺图,4,q_ACEqkC58BJbe,,
353,如图所示，直行车辆遇到前方路口堵塞，以下说法正确的是什么？,等其他机动车进入路口时跟随行A驶 | 等前方道路疏通后，且信号灯为绿灯时方可继续行驶 | 可以直接驶入路口内等待通行 | 只要信号灯为绿灯，就可通,题库缺图,4,q_dz3oIngSxpSF,,
354,如图所示，直行车辆遇到前方路口堵塞，以下说法正确的是什么？,正确 | 错误,题库缺图,4,q_i0FTNZpcHzlQ,,
355,如图所示，直行车辆遇到前方路口堵塞，以下说法正确的是什么？,等其他机动车进入路口时跟随行驶 | 等前方道路疏通后，且信号灯为绿灯时方可继续行驶 | 可以直接驶入路口内等待通行 | 只要信号灯为绿灯，就可通过,残缺队列,4,qi_item_NZQJoMM3JFQk,,
356,如图所示，驾车驶近路口时，以下说法错误的是（ ）。,因视野受阻，应鸣喇叭提醒侧方来车 | 右前方视野受阻，如有车辆冲出易引发事故 | 已车有优先通行权，无需减速 | 为避免车辆从路口冲出，应降低车速,题库缺图,4,q_SpvSRGeKVjmG,,
357,如图所示，驾车驶近路口时，以下说法错误的是（ ）。,因视野受阻，应鸣喇叭提醒侧方A来车 | 右前方视野受阻，如有车辆冲出B易引发事故 | 已车有优先通行权，无需减速 | 为避免车辆从路口冲出，应降低车速,题库缺图,4,q_NpRvBaeDxmI-,,
358,如图所示，驾车驶近路口时，以下说法错误的是（ ）。,因视野受阻，应鸣喇叭提醒侧方A来车 | 右前方视野受阻，如有车辆冲出B易引发事故 | 己车有优先通行权，无需减速 | 为避免车辆从路口冲出，应降低车速,题库缺图,4,q_MLPWyQmokRm1,,
359,如图所示，驾车驶近路口时，以下说法错误的是（ ）。,因视野受阻，应鸣喇叭提醒侧方来车 | 右前方视野受阻，如有车辆冲出易引发事故 | 己车有优先通行权，无需减速 | 为避免车辆从路口冲出，应降低车速,残缺队列,4,qi_item_WxxDEGmzQL-k,,
360,如图所示，驾驶机动车在路口遇到这种信号灯可以怎样行驶？,向左转弯 | 直行或向左转弯 | 向右转弯 | 直行D,题库缺图,4,q_aSX98rOUvHPN,,
361,如图所示，驾驶机动车在路口遇到这种信号灯可以怎样行驶？,A直行 | 向右转弯 | 直行或向左转弯 | 向左转弯,题库缺图,4,q_6qGSqJQnZnUD,,
362,如图所示，驾驶机动车在路口遇到这种信号灯可以怎样行驶？,向左转弯 | 直行或向左转弯 | 向右转弯 | 直行,题库缺图,4,q_X89VZx4hljq0,,
363,如图所示，驾驶机动车在路口遇到这种信号灯可以怎样行驶？,向左或向右转弯 | 直行或向左转弯 | 向左转弯 | 直行或向右转弯,题库缺图,4,q_paFj3rskgTVR,,
364,这属于哪一类标志？,璜塘二龙路黄河路G105G42上海25km500m500 | 指路标志 | 指示标志 | 禁令标志,题库缺图,4,q_dsgwa37DCOOG,,
365,这属于哪一类标志？,五爱街田村路田村 | 前方500m | 警告标志 | 禁令标志,题库缺图,4,q_y5SWQqpDk2hV,,
366,这属于哪一类标志？,璜塘二龙路黄河路G105G42上海25km500500 | 指路标志 | 指示标志 | 禁令标志,题库缺图,4,q_oBWIf4aclCiF,,
367,这属于哪一类标志？,指路标志 | 指示标志 | 禁令标志 | 警告标志,题库缺图,4,q_acQfHjbyEyB2,,
368,下列哪个交通标志，表示该道路仅供非机动车推行，不准骑行？,图1图2 | 图3图4 | 如图1所示 | 如图2所示,题库缺图,3,q_R0630Gv1folr,,
369,下列哪个交通标志，表示该道路仅供非机动车推行，不准骑行？,1 | 图34 | 如图1所示 | 如图2所示,题库缺图,3,q_FfIiip_7cFcb,,
370,下列哪个交通标志，表示该道路仅供非机动车推行，不准骑行？,如图1所示 | 如图2所示 | 如图3所示 | 如图4所示,残缺队列,3,qi_item_bEdZ3uFVkBM6,,
371,下列哪个标志提示驾驶人下陡坡？,图A图 | 图 | 如图中A所示 | 如图中B所示,题库缺图,3,q_GKdibRSOKoed,,
372,下列哪个标志提示驾驶人下陡坡？,图B图 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,3,q_WS8RIKOBPTEe,,
373,下列哪个标志提示驾驶人下陡坡？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,3,q_IdImJsVM0t1Z,,
374,下列哪个标志提示驾驶人连续弯路？,图A图 | 图 | 如图中A所示 | 如图中B所示,题库缺图,3,q_dpOaXN3LyAhp,,
375,下列哪个标志提示驾驶人连续弯路？,图B图 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,3,q_XVbMVrt_sC4v,,
376,下列哪个标志提示驾驶人连续弯路？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,3,q_T3pUnsHRTvSf,,
377,下列哪个标志禁止一切车辆长时间停放，但可以临时停车？,图8停 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,3,q__36cZJhEWs4X,,
378,下列哪个标志禁止一切车辆长时间停放，但可以临时停车？,停 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,3,q_9h6Blel14BGh,,
379,下列哪个标志禁止一切车辆长时间停放，但可以临时停车？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,3,q_nWyGDxE3nyce,,
380,下列标志哪个表示一般道路车道数变少？,图A图 | 2500m | 如图中A所示 | 如图中B所示,题库缺图,3,q_So84h9BSjtLc,,
381,下列标志哪个表示一般道路车道数变少？,图 | 2500m | 如图中A所示 | 如图中B所示,题库缺图,3,q_jGhErAkK43xF,,
382,下列标志哪个表示一般道路车道数变少？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,3,q_THIbgGvi5w6D,,
383,下列高速公路交通标志与其含义对应正确的一项是？,如图中A所示 | 如图中D所示 | 如图中B所示 | 如图中C所示,题库缺图,3,q_rmwn0-HFXgos,,
384,下列高速公路交通标志与其含义对应正确的一项是？,虎门高速2高速公路停车场预告高速公路起点预告 | 高速公路紧急停车带高速公路公用电话 | 如图中A所示 | 如图中B所示,题库缺图,3,q_Ez0WuJMPWqBE,,
385,下列高速公路交通标志与其含义对应正确的一项是？,虎门高速 | 高速公紧急停车带高速公路公用电话 | 如图中A所示 | 如图中B所示,题库缺图,3,q_uk9JDZfKV54y,,
386,以下哪个指示灯亮时，表示发动机温度过高？,图2图1 | 图3图4 | 图1 | 图3,题库缺图,3,q_6lcVGsiyJDNU,,
387,以下哪个指示灯亮时，表示发动机温度过高？,图1 | 图3图4 | 图3 | 图2,题库缺图,3,q_wmuVXiL8HTm6,,
388,以下哪个指示灯亮时，表示发动机温度过高？,图1 | 图3 | 图2 | 图4,题库缺图,3,q_vrHVwhBvZF6K,,
389,以下高速公路交通标志与其含义对应正确的一项是？,图1：虎门高速虎门高速2高速公路终点高速公路停车场 | 高速公路验处高速公路公用电话 | 如图1所示 | 如图2所示,题库缺图,3,q_BSTC2eWcfeFB,,
390,以下高速公路交通标志与其含义对应正确的一项是？,虎门高速 | 高速公路点 | 高公路验处高速公路公用电话 | 如图1所示,题库缺图,3,q_UYyyY4Lj7sCr,,
391,以下高速公路交通标志与其含义对应正确的一项是？,如图1所示 | 如图2所示 | 如图3所示 | 如图4所示,题库缺图,3,q_F99Uk03GbXj9,,
392,图中交通标志是指（,左侧绕行 | 单向通行 | 注意危险 | 右侧绕行,题库缺图,3,q_ZgpwMlBgGB3A,,
393,图中交通标志是指（,昌平 | 顺义 | 地点识别 | 地点指引,题库缺图,3,q_t1AUSGIBPMNd,,
394,图中交通标志是指（,S304白涧三河 | 双塔G102唐山 | 交叉路口预告 | 地点距离,题库缺图,3,q_0KnPGg45rfTk,,
395,图中交通标志是指（ ）,左侧绕行 | 单向通行 | 注意危险 | 右侧绕行,题库缺图,3,q_sU5RAchUWp5-,,
396,图中交通标志是指（ ）,注意行人 | 人行横道 | 注意儿童 | 学校区域,题库缺图,3,q_Ey6U2tXB8iME,,
397,图中交通标志是指（ ）,急弯路 | 交叉路口 | 反向弯路 | 注意合流,题库缺图,3,q_v-UExJfxotvP,,
398,在图中城市道路上行驶，最高车速是（ ）。,30km/h | 70km/hB | 50km/h | 40km/hD,题库缺图,3,q_Y40LUd-rhxXC,,
399,在图中城市道路上行驶，最高车速是（ ）。,A30km/h | 70km/hB | 50km/h | 40km/hD,题库缺图,3,q_a2Uu6Dm65TbA,,
400,在图中城市道路上行驶，最高车速是（ ）。,A30km/h | 70km/h | 50km/h | 40km/h,题库缺图,3,q_4Rr2Pzxda-w9,,
401,在路口看到这种信号灯亮时，怎样做是正确的？,尽快从直行车前方直接向左转弯 | 开启转向灯提示直行车辆减速让B行 | 不能妨碍被放行的直行车辆通行 | 开启近光灯告知直行车辆停车让行,题库缺图,3,q_et4Z5gvau02-,,
402,在路口看到这种信号灯亮时，怎样做是正确的？,尽快从直行车前方直接向左转弯 | 开启转向灯提示直行车辆减速让B行 | 不能妨碍被放行的直行车辆通行 | 开启近光灯告知直行车辆停车让D行,题库缺图,3,q_DFzusZbQufLM,,
403,在路口看到这种信号灯亮时，怎样做是正确的？,尽快从直行车前方直接向左转弯 | 开启转向灯提示直行车辆减速让行 | 不能妨碍被放行的直行车辆通行 | 开启近光灯告知直行车辆停车让行,题库缺图,3,q_vGJSG3N_sRV-,,
404,如下图所示这个符号的开关控制什么装置？,儿童安全锁 | 两侧车窗玻璃 | 电动车门 | 车门锁住开锁,题库缺图,3,q_6GHQSojGvdcs,,
405,如下图所示这个符号的开关控制什么装置？,后风窗玻璃除霜或除雾 | 前风窗玻璃刮水器及洗涤器 | 后风窗玻璃刮水器及洗涤器 | 前风窗玻璃除霜或除雾,题库缺图,3,q_ybAynLJOZdmW,,
406,如下图所示这个符号的开关控制什么装置？,前风窗玻璃刮水器 | 后风窗玻璃除霜 | 后风窗玻璃刮水器 | 前风窗玻璃除霜,题库缺图,3,q_hl0_U44toTO6,,
407,如图所示，在这起交通事故中，以下说法正确的是什么？,障碍物 | A车负全部责任 | B车负全部责任 | 各负一半责任,题库缺图,3,q_477MJFJrJQgu,,
408,如图所示，在这起交通事故中，以下说法正确的是什么？,障碍物 | A车负全部责任 | ）B车负全部责任 | 各负一半责任,题库缺图,3,q_gy2vQxGlYzYy,,
409,如图所示，在这起交通事故中，以下说法正确的是什么？,A车负全部责任 | B车负全部责任 | 各负一半责任 | 都无责任，后果自行承担,题库缺图,3,q_qSBYT4cCSJfG,,
410,如图所示，在高速公路上开车遇到图中所示情况时，以下操作不正确的是什么？,应该打开雾灯、近光灯、示廓灯、前后位灯，危险报警闪光灯 | 能见度低，应该与同车道前车保持一定距离 | 降低车速，防止紧急情况下无法及时制动 | 继续维持高速行驶，防止后面车辆堵塞,残缺队列+题库缺图,3,"q_gYetyQbvJnUp,qi_item_7u6WNuA5srgg",,
411,如图所示，在高速公路上开车遇到图中所示情况时，以下操作不正确的是什么？,应该打开雾灯、近光灯、示廓灯、A前后位灯，危险报警闪光灯 | 能见度低，应该与同车道前车保B持一定距离 | 降低车速，防止紧急情况下无法及时制动 | 继续维持高速行驶，防止后辆堵塞,题库缺图,3,q_sQ58nmErMtpj,,
412,如图所示，在高速公路上开车遇到图中所示情况时，以下操作不正确的是什么？,应该打开雾灯、近光灯、示廓灯、A前后位灯，危险报警闪光灯 | 能见度低，应该与同车道前车保持一定距离 | 降低车速，防止紧急情况下无法及时制动 | 继续维持高速行驶，防止后面车辆堵塞,题库缺图,3,q_3yQO78l3aDQZ,,
413,如图所示，驾驶机动车在没有划分车道的道路上通行，以下做法正确的是什么？,机动车在道路左侧通行，非机动车和行人随意通行 | 机动车在道路左侧通行，非机动车和行人在道路两侧通行 | 机动车在道路中间通行，非机动车和行人在道路两侧通行 | 机动车、非机动车和行人可通行,题库缺图,3,q_VQtZg1pL4klH,,
414,如图所示，驾驶机动车在没有划分车道的道路上通行，以下做法正确的是什么？,机动车在道路左侧通行，非机动车和行人随意通行 | 机动车在道路左侧通行，非机动车和行人在道路两侧通行 | 机动车在道路中间通行，非机动车和行人在道路两侧通行 | 机动车、非机动车和行人可随意通行,残缺队列+题库缺图,3,"q_zrbMjMAV9w9E,qi_item_DzNDsSVqKS-8",,
415,如图所示，驾驶机动车在没有划分车道的道路上通行，以下做法正确的是什么？,机动车在道路左侧通行，非机动A车和行人随意通行 | 机动车在道路左侧通行，非机动车和行人在道路两侧通行 | 机动车在道路中间通行，非机动车和行人在道路两侧通行 | 机动车、非机动车和行人可随意D通行,题库缺图,3,q_izb2JrujGJm6,,
416,如图所示，驾驶机动车遇到这种情况时，以下做法正确的是什么？,应停车察明水情，确认安全后，低速通过 | 应停车察明水情，确认安全后，快速通过 | 应减速观察水情，然后加速行驶通过 | 可随意通行,残缺队列+题库缺图,3,"q_Fp1v2QxBGnb_,qi_item_yzTupAznJt8t",,
417,如图所示，驾驶机动车遇到这种情况时，以下做法正确的是什么？,正确 | 错误,题库缺图,3,q_S2BiN5OtWIx9,,
418,如图所示，驾驶机动车遇到这种情况时，以下做法正确的是什么？,应停车察明水情，确认安全后，低速通过 | 应停车察明水情，确认安全后，B快速通过 | 应减速观察水情，然后加速行驶通过 | 可随意通行,题库缺图,3,q_Y-fmiSDKr7B5,,
419,如图所示，驾驶机动车遇到这种情况，以下做法正确的是什么？,减速慢行、鸣喇叭示意 | 为拓宽视野，临时占用左侧车道行驶 | 加速行驶 | 停车观察,残缺队列+题库缺图,3,"q_2nNw2nnyoale,qi_item_ruThmjExcWV2",,
420,如图所示，驾驶机动车遇到这种情况，以下做法正确的是什么？,减速慢行、鸣喇叭示意 | 为拓宽视野，临时占用左侧车道B行驶 | 加速行驶 | 停车观察,题库缺图,3,q_YaXLZ-4ID8r1,,
421,如图所示，驾驶机动车遇到这种情况，以下做法正确的是什么？,长鸣喇叭催促行人快速通过 | 开启远光灯警示行人有车辆驶近 | 降低行驶速度，避让行人 | 适当加速从行人前方绕行,残缺队列+题库缺图,3,"q_wSxAKBJkmm5T,qi_item_-ndvsa5P3bcZ",,
422,机动车仪表板上如下图所示指示灯亮表示什么？,空气内循环 | 侧面出风 | 空气外循环 | 迎面出风,题库缺图,3,q_r0dHPh_WfIJR,,
423,机动车仪表板上如下图所示指示灯亮表示什么？,空气内循环 | 地板及迎面出风 | 空气外循环 | 侧面及地板出风,题库缺图,3,q_nbmxTlXdDlrG,,
424,机动车仪表板上如下图所示指示灯亮表示什么？,空气内循环 | 空气外循环 | 迎面吹风 | 风窗玻璃除霜,题库缺图,3,q_XvDl9m4-jzdm,,
425,红圈内导向箭头含义是（,指示前方可直行或向左变道 | 指示前方可直行或左转 | 指示前方可直行或掉头 | 指示前方可左转或掉头,题库缺图,3,q_r9fQZivOkBZc,,
426,红圈内导向箭头含义是（,指示前方右转 | 指示前方掉头 | 指示前方直行 | 指示向左变道,题库缺图,3,q_j4MONL90a_pX,,
427,红圈内导向箭头含义是（,指示前方右转弯 | 指示向左变道 | 指示前方直行 | 指示前方左转弯,题库缺图,3,q_UE31kgmNdFBD,,
428,车辆使用远光灯，下列哪个指示灯会亮？,图2图1 | 图3图4 | 图1 | 图2,题库缺图,3,q_prRRjYglvTac,,
429,车辆使用远光灯，下列哪个指示灯会亮？,啡 | 图1 | 图3图4 | 图2,题库缺图,3,q_tXygYb7LfQSg,,
430,车辆使用远光灯，下列哪个指示灯会亮？,图1 | 图2 | 图3 | 图4,题库缺图,3,q_I6kop3RBtEcE,,
431,这个标志是何含义？单远,高速公路收费站 | 高速公路领卡处 | ETC收费车道 | 人工收费车道,题库缺图,3,q_UfMzGSG3K82T,,
432,这个标志是何含义？单远,正确 | 错误,题库缺图,3,q_kLmjLSsBBU9f,,
433,这个标志是何含义？单远,G105 | 国道编号 | 省道编号 | 县道编号,题库缺图,3,q_Mm3B2ORXLpL1,,
434,这个路面标记是什么标线？,禁驶区 | 网状线 | 导流线 | 中心圈,题库缺图,3,q_K9VnFcKtblhS,,
435,这个路面标记是什么标线？,禁驶区 | 网状线 | 导流线,残缺队列,3,qi_item_BxdLHiRBVEAa,,
436,这个路面标记是什么标线？,禁驶区 | 网状线 | 中心圈,残缺队列,3,qi_item_u_oJgt6wJmqx,,
437,下列哪个交通标志表示不能停车？,停检查 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_RTanVkj2_xn-,,
438,下列哪个交通标志表示不能停车？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_z9wuAb1UdsMu,,
439,下列哪个交通标志，表示多乘员车辆（HOV）专用车道？,图 | D图 | 如图中D所示 | 如图中B所示,题库缺图,2,q_OogmySCB4-OX,,
440,下列哪个交通标志，表示多乘员车辆（HOV）专用车道？,如图中D所示 | 如图中B所示 | 如图中C所示 | 如图中A所示,题库缺图,2,q_bKY_dcja9rsh,,
441,下列哪个交通标志，表示禁止挂车、半挂车驶入？,B图A图 | D图 | 如A图所示 | 如D图所示,题库缺图,2,q_PMLA9o9pndtu,,
442,下列哪个交通标志，表示禁止挂车、半挂车驶入？,如A图所示 | 如D图所示 | 如B图所示 | 如C图所示,题库缺图,2,q_kjRns-Dg2diT,,
443,下列哪个交通标志，表示禁止电动自行车进入？,B图A图 | D图 | 如A图所示 | 如B图所示,题库缺图,2,q_nKiI2HbGbHxZ,,
444,下列哪个交通标志，表示禁止电动自行车进入？,如A图所示 | 如B图所示 | 如C图所示 | 如D图所示,题库缺图,2,q_sF1ckdtFnrp-,,
445,下列哪个交通标志，表示该车道仅供有轨电车通行？,图 | D图 | 如图中A所示 | 如图中B所示,题库缺图,2,q_QlqQ-5hecAgA,,
446,下列哪个交通标志，表示该车道仅供有轨电车通行？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_aPVOTt7Ixp0L,,
447,下列哪个指示灯亮表示车辆在使用近光灯？,图A图B图 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_YKi6lolQZj48,,
448,下列哪个指示灯亮表示车辆在使用近光灯？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_eiCiLbgjVf_y,,
449,下列哪种标志是驾驶机动车上路行驶应当在车上放置的标志？,A产品合格标志 | 保持车距标志 | 提醒危险标志 | 检验合格标志,题库缺图,2,q_lEFEUR9Fs0Zk,,
450,下列哪种标志是驾驶机动车上路行驶应当在车上放置的标志？,产品合格标志 | 保持车距标志 | 提醒危险标志 | 检验合格标志,题库缺图,2,q_BAgPNlvdnmSr,,
451,以下哪个仪表表示水温表？,0000 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_6Nq0hsPoileM,,
452,以下哪个仪表表示水温表？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_BEZdPZ84sl6O,,
453,以下哪个仪表表示燃油表？,000 | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_TXLKz-4I0_Iw,,
454,以下哪个仪表表示燃油表？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_PRMj_f21X6sg,,
455,以下哪个指示灯亮时，表示发动机机油压力过低？,ABS | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_RkvUEfgz3-08,,
456,以下哪个指示灯亮时，表示发动机机油压力过低？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_Eg1P9AhVItSI,,
457,以下哪个指示灯亮时，表示油箱内燃油已到最低液面？,ABS | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_Y4_tyFoqTQWn,,
458,以下哪个指示灯亮时，表示油箱内燃油已到最低液面？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_ekVSRP1_WyDt,,
459,以下哪个指示灯亮时，表示防抱死制动系统出现故障？,ABS | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_uCOrIb8i9JOU,,
460,以下哪个指示灯亮时，表示防抱死制动系统出现故障？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_s9ZFg383TZ89,,
461,以下哪个指示灯亮，表示当前汽车发动机温度过高或者冷却液过少？,ABS | 如图A所示 | 如图B所示 | 如图C所示,题库缺图,2,q_HhbtcnDZuCGI,,
462,以下哪个指示灯亮，表示当前汽车发动机温度过高或者冷却液过少？,如图A所示 | 如图B所示 | 如图C所示 | 如图D所示,残缺队列,2,qi_item_k3gmf0-t3oXB,,
463,以下哪个标志，表示干路先行？,图 | A如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_vVLM1DEmaZ74,,
464,以下哪个标志，表示干路先行？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_yo8WQL2Oeoy3,,
465,关于图中交通事故的责任判定，以下说法正确的是（ ）。,AA车负全部责任 | 车负全部责任 | 都无责任，后果自行承担 | 各负一半责任,题库缺图,2,q_AM2xxXH-l37X,,
466,关于图中交通事故的责任判定，以下说法正确的是（ ）。,A车负全部责任 | B车负全部责任 | 都无责任，后果自行承担 | 各负一半责任,题库缺图,2,q_B_g_M9Eh2KI7,,
467,发动机起动后仪表板上如图所示指示灯亮表示什么？,发动机机油压力过高 | 发动机主油道堵塞 | 发动机机油压力过低 | 发动机曲轴箱漏气,题库缺图,2,q_Wb7HKmGMUrvP,,
468,发动机起动后仪表板上如图所示指示灯亮表示什么？,油箱内燃油已到最低液面 | 发动机供油系统出现异常 | 发动机点火系统出现故障 | 燃油泵出现异常或者故障,题库缺图,2,q_oOEvwyDup2T9,,
469,图中上路学习驾驶的自学直考车有什么违法行为？,鄂K·R1234 | 搭载随车指导人员以外的其他人员 | 学车专用标识粘贴的位置不符合B规定 | 自学人员和随车指导人员都没有系安全带,残缺队列+题库缺图,2,"q_q-Zr9O2_8D0A,flag_q_q-Zr9O2_8D0A",,
470,图中上路学习驾驶的自学直考车有什么违法行为？,搭载随车指导人员以外的其他人员 | 学车专用标识粘贴的位置不符合规定 | 自学人员和随车指导人员都没有系安全带 | 没有使用教练车在道路上进行训练,残缺队列,2,qi_item_-TcbSRLkXvq7,,
471,图中哪个报警灯亮，提示充电电路异常或故障？,ABS | 如图中A所示 | 如图中B所示 | 如图中C所示,题库缺图,2,q_dFDQ8l5L8W76,,
472,图中哪个报警灯亮，提示充电电路异常或故障？,如图中A所示 | 如图中B所示 | 如图中C所示 | 如图中D所示,题库缺图,2,q_5hkgQgu0XiLW,,
473,图中圈内白色实线是什么标线？,可变导向车道线 | 导向车道线 | ）方向引导线 | 单向行驶线,题库缺图,2,q_vxt5khWs40Wf,,
474,图中圈内白色实线是什么标线？,可变导向车道线 | 导向车道线 | 方向引导线 | 单向行驶线,题库缺图,2,q_yQZDCKbhJ2D7,,
475,图中圈内白色虚线是什么标线？,小型车转弯线 | 车道连接线 | 非机动车引导线 | 路口导向线,残缺队列+题库缺图,2,"q_y-oSoUfmiSGh,qi_item_Vq0jd3eXH-Hz",,
476,图中圈内白色虚线是什么标线？,）小型车转弯线 | 车道连接线 | 非机动车引导线 | 路口导向线,题库缺图,2,q_aMQCz-u9fN47,,
477,图中属于哪种标志？,五爱街田村路田村 | 前方500m | 警告标志 | 禁令标志,题库缺图,2,q_CU_2qUEko-bk,,
478,图中属于哪种标志？,警告标志 | 禁令标志 | 指示标志 | 指路标志,题库缺图,2,q_IaUbsxiXBmxd,,
479,图中故障车辆的违法行为是,未开启危险报警闪光灯 | 未将车停到路边 | 未立即排除故障,题库缺图,2,q_qU-NSpWpVZb_,,
480,图中故障车辆的违法行为是,未设置警告标志 | 未开启危险报警闪光灯 | 未将车停到路边 | 未立即排除故障,题库缺图,2,q_v4lGnfVNG6in,,
481,图中蓝色车这种违法的行为会被记多少分？,记1分 | 记3分 | 记6分 | 记9分,题库缺图,2,q_IFhQvHM4J6do,,
482,图中蓝色车这种违法的行为会被记多少分？,江阴南张家港26出口1m | 严禁占用应急车道 | 记1分 | 记3分,题库缺图,2,q_SOpSXl_dp-MR,,
483,在下图所示的交通事故中，有关事故责任认定，正确的说法是什么？,AB车闯红灯，所以B车负全责 | 车可以右转，但不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍右转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故A车负全责,题库缺图,2,q_It1zdvsqhFOp,,
484,在下图所示的交通事故中，有关事故责任认定，正确的说法是什么？,B车闯红灯，所以B车负全责 | B车可以右转，但不得妨碍被放行的直行车辆，所以B车负全责 | 直行车辆不得妨碍右转车辆，所以A车负全责 | 右侧方向的车辆具有优先通行权，故A车负全责,残缺队列,2,qi_item_b7PXI-hERudN,,
