组号,组内序号,题号,题干,正确答案,选项,分组题干,组内条数,组内答案种数,已标记问题题
1,157/238,q_-VCTxSw9IErz,这个标志是何含义？,提醒车辆驾驶人前方有向下的陡坡路段,提醒车辆驾驶人前方道路沿水A库、湖泊、河流 | 提醒车辆驾驶人前方有向上的陡B坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段,这个标志是何含义,238,217,
1,158/238,q_IvFLa8l0Zmza,这个标志是何含义？,提醒车辆驾驶人前方有两个及以上的连续下坡路段,提醒车辆驾驶人前方有两个及以A上的连续上坡路段 | 提醒车辆驾驶人前方有向上的陡B坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续下坡路段,这个标志是何含义,238,217,
1,159/238,q_L7IkWBS6fWz2,这个标志是何含义？,窄桥,A窄路 | 右侧变窄 | 左侧变窄 | 窄桥,这个标志是何含义,238,217,
1,160/238,q_Ax_nQDb3_G3B,这个标志是何含义？,注意行人,A人行横道 | 注意行人 | 注意儿童 | 学校区域,这个标志是何含义,238,217,
1,161/238,q_DYkaX6_Kcczk,这个标志是何含义？,不准长时间停车,停 | 不准车辆驶入 | 不准长时间停车 | 停车让行,这个标志是何含义,238,217,
1,162/238,q_9uscEHNgZ1b6,这个标志是何含义？,停车让行,让 | 不准让行 | 会车让行 | 停车让行,这个标志是何含义,238,217,
1,163/238,q_2jeUqX1GNUFz,这个标志是何含义？,硬路肩充许行驶起点,只准直行 | 车道数增加 | 硬路肩充许行驶起点 | 分流处,这个标志是何含义,238,217,
1,164/238,q_8-Jb4k5QBO1f,这个标志是何含义？,人行横道,注意行人 | 人行横道 | 注意儿童 | 学校区域,这个标志是何含义,238,217,
1,165/238,q_eLp9g908DK3-,这个标志是何含义？,禁止校车停车,校车 | 禁止校车通行 | 禁止校车停车 | 校车专用停车位、校车停靠站点,这个标志是何含义,238,217,
1,166/238,q_qwgwAGOrjyy5,这个标志是何含义？,错误,正确 | 错误,这个标志是何含义,238,217,
1,167/238,q_1CXhPUJy83Ev,这个标志是何含义？,施工路段,事故 | 注意危险 | 事故易发路段 | 施工路段,这个标志是何含义,238,217,
1,168/238,q_0914cojNjAWS,这个标志是何含义？,东北路南京路,北G2 | 东北路南京路 | 地点和距离预告 | 十字交叉路口预告,这个标志是何含义,238,217,
1,169/238,q_tGcjL3GK3oAF,这个标志是何含义？,十字交叉路口预告,文慧路徐庄路 | AY形交叉路口预告 | 十字交叉路口预告 | 丁字交叉路口预告,这个标志是何含义,238,217,
1,170/238,q_aHgYhk3pTyqD,这个标志是何含义？,十字交叉路口告知,王平 | 新屿 | 环型交叉路口告知 | 十字交叉路口告知,这个标志是何含义,238,217,
1,171/238,q_DeDYr_rkb7N8,这个标志是何含义？,科技公园,科技公园 | G108G1095209 | 环形交叉路口预告 | 十字交叉路口预告,这个标志是何含义,238,217,
1,172/238,q_mgBOUX2EmqW_,这个标志是何含义？,省道编号,X008 | 国道编号 | 省道编号 | 县道编号,这个标志是何含义,238,217,
1,173/238,q_5-gbhoQPBEhm,这个标志是何含义？,乡道编号,国道编号 | 省道编号 | 县道编号 | 乡道编号,这个标志是何含义,238,217,
1,174/238,q_rH425pj36Drx,这个标志是何含义？,2km南直路,2km南直路 | 15km八一路 | 25kmG101 | 地点距离,这个标志是何含义,238,217,
1,175/238,q_Ub9qmDYtqO4G,这个标志是何含义？,室内停车场,专用停车场 | 露天停车场 | 室内停车场 | 内部停车场,这个标志是何含义,238,217,
1,176/238,q_nKIiy6GomZ4M,这个标志是何含义？,旅游区距离,云居寺 | 旅游区类别 | 旅游区距离 | 旅游区方向,这个标志是何含义,238,217,
1,177/238,q_9JTaAvAsUeUv,这个标志是何含义？,海关,海关 | DOUANE | 国界 | 边防,这个标志是何含义,238,217,
1,178/238,q_8HlSyH2awFj7,这个标志是何含义？,立体交叉直行和右转弯行驶,直行和左转弯行驶 | 直行和右转弯行驶 | 立体交叉直行和右转弯行驶 | 立体交叉直行和左转弯行驶,这个标志是何含义,238,217,
1,179/238,q_HYgs-gj2_fqa,这个标志是何含义？,最高限速50公里/小时,50 | 最高限速50公里/小时 | 最低限速50公里/小时 | 水平高度50米,这个标志是何含义,238,217,
1,180/238,q_mcShXMustOOC,这个标志是何含义？,观景台,观景台 | 停车场 | 休息区 | 停车位,这个标志是何含义,238,217,
1,181/238,q_heKJFmm6I-gx,这个标志是何含义？,应急避难设施（场所）,横过道路设施 | 应急避难设施（场所） | 生活服务区 | 行人专用通道,这个标志是何含义,238,217,
1,182/238,q_IE1jly7C1hGw,这个标志是何含义？,观景台,休息区 | A停车场 | 观景台 | 服务区,这个标志是何含义,238,217,
1,183/238,q_P-ND9fIt25lY,这个标志是何含义？,超高绕行,禁止左转 | 此路不通 | 禁止通行 | 超高绕行,这个标志是何含义,238,217,
1,184/238,q_zuqzv3T9iYtc,这个标志是何含义？,此路不通,此路不通 | BT形路口 | 分流路口 | 减速通行,这个标志是何含义,238,217,
1,185/238,q_rYMqmaMuyJg0,这个标志是何含义？,全路段抓拍,违法抓拍 | 减速拍照区 | 道路流量监测 | 全路段抓拍,这个标志是何含义,238,217,
1,186/238,q_WZ1a5dPLCOsd,这个标志是何含义？,2km,2km | 隧道出口距离 | 隧道入口距离 | 隧道跟车距离,这个标志是何含义,238,217,
1,187/238,q_gGAzNQc5rL2w,这个标志是何含义？,汕头深圳,G15 | 汕头深圳 | 入口500m | 高速公路终点预告,这个标志是何含义,238,217,
1,188/238,q_HPZW_6Gs7iX6,这个标志是何含义？,高速公路下一出口预告,G3G3天津济南 | 高速公路右侧出口预告 | 高速公路下一出口预告 | 高速公路地点、方向预告,这个标志是何含义,238,217,
1,189/238,q_oXwewm7EoU3i,这个标志是何含义？,高速公路终点地名预告,8km璜塘 | 17G42km | 上海25km | 高速公路终点地名预告,这个标志是何含义,238,217,
1,190/238,q_A_M2Q9yqBQLr,这个标志是何含义？,高速公路界牌编号,国家高速G2 | 京沪高速 | 高速公路界牌编号 | 高速公路里程编号,这个标志是何含义,238,217,
1,191/238,q_adeGoAqVq3_k,这个标志是何含义？,下一出口,下一出口 | 15km | 高速公路下一出口预告 | 高速公路右侧出口预告,这个标志是何含义,238,217,
1,192/238,q_-KB9zoAaKF8U,这个标志是何含义？,G204,145出口 | G204 | 如皋 海安 | 高速公路下一出口预告,这个标志是何含义,238,217,
1,193/238,q_lHgWaVh0Jo8D,这个标志是何含义？,G1511,G1511 | 高速公路起点 | 高速公路出口 | 高速公路入口,这个标志是何含义,238,217,
1,194/238,q_KW9AXpKxFQlL,这个标志是何含义？,高速公路入口,G15 | 高速公路起点 | 高速公路出口 | 高速公路入口,这个标志是何含义,238,217,
1,195/238,q_vklzjZ7ydB2S,这个标志是何含义？,道路交通信息,1620 | 道路交通信息 | 高速公路报警电话号码 | 高速公路交通广播频率,这个标志是何含义,238,217,
1,196/238,q_c3uaSB9h6RVC,这个标志是何含义？,停车领卡,停车领卡 | 停车缴费 | 停车检查 | ETC通道,这个标志是何含义,238,217,
1,197/238,q_Z_K9iCVzCd4z,这个标志是何含义？,高速公路收费处,电子收费ETC | 收费站 | 高速公路领卡处 | 高速公路收费处,这个标志是何含义,238,217,
1,198/238,q_8mpvtg5Ir5SO,这个标志是何含义？,ETC,ETC | 高速公路ETC车道 | 高速公路缴费车道 | 高速公路检查车道,这个标志是何含义,238,217,
1,199/238,q_GQR3IXtga6ni,这个标志是何含义？,高速公路特殊天气最高速度,60kmh | 高速公路特殊天气最高速度 | 高速公路特殊天气建议速度 | 高速公路特殊天气最低速度,这个标志是何含义,238,217,
1,200/238,q_HjknjD5pGOW9,这个标志是何含义？,高速公路报警电话,救援 | 12122 | 高速公路公用电话 | 高速公路报警电话,这个标志是何含义,238,217,
1,201/238,q_FPgnVrfOTEXC,这个标志是何含义？,正确,正确 | 错误,这个标志是何含义,238,217,
1,202/238,q_qe2HgGeTYJMv,这个标志是何含义？,浪网,浪网 | 高速公路停车区预告 | 高速公路避险处预告 | 高速公路服务区预告,这个标志是何含义,238,217,
1,203/238,q_BvnmOcy7-RTk,这个标志是何含义？,ETC收费站入口,电子收费ETC | 高速公路收费处 | ETC收费站入口 | 电子不停车收费车道,这个标志是何含义,238,217,
1,204/238,q_F6YUC3ymBa4X,这个标志是何含义？,停车点,Pi | 停车点 | 服务站 | 停车场,这个标志是何含义,238,217,
1,205/238,q_7K0s9Nfsodla,这个标志是何含义？,左转车道,分向车道 | 右转车道 | 掉头车道 | 左转车道,这个标志是何含义,238,217,
1,206/238,q_GnagVAvuAUuR,这个标志是何含义？,公交,公交 | 公交专用车道 | 大型客车专用车道 | 快速公交系统专用车道,这个标志是何含义,238,217,
1,207/238,q_cmURWAkNOmFi,这个标志是何含义？,预告宽度为3米,3 | A解除3米限宽 | 限制高度为3米 | 预告宽度为3米,这个标志是何含义,238,217,
1,208/238,q_BBlw6a4tRXYD,这个标志是何含义？,3.5m,3.5m | 限制高度为3.5米 | 限制宽度为3.5米 | 解除3.5米限高,这个标志是何含义,238,217,
1,209/238,q_OWwHPB8JB5-L,这个标志是何含义？,限制40吨轴重,40 | 限制40吨轴重 | 限制最高时速40公里 | 前方40米减速,这个标志是何含义,238,217,
1,210/238,q_jArIfz12Nx85,这个标志是何含义？,海关检查,检查 | 边防检查 | 禁止通行 | 海关检查,这个标志是何含义,238,217,
1,211/238,q_g9x0ZZh8i0Ds,这个标志是何含义？,汕头深圳,家高速G15 | 汕头深圳 | 入口500m | 高速公路终点预告,这个标志是何含义,238,217,
1,212/238,q_sWuC0pNfkvCe,这个标志是何含义？,提醒车辆驾驶人前方有向上的陡坡路段,提醒车辆驾驶人前方道路沿水A库、湖泊、河流 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段,这个标志是何含义,238,217,
1,213/238,q_fEN_yc32Mh2Q,这个标志是何含义？,十字交叉路口,AT形交叉路口 | Y形交叉路口 | 十字交叉路口 | 环形交叉路口,这个标志是何含义,238,217,
1,214/238,q_TnZU7VvZPQrD,这个标志是何含义？,T形交叉路口,T形交叉路口 | BY形交叉路口 | 十字交叉路口 | 环形交叉路口,这个标志是何含义,238,217,
1,215/238,q_ES_KSlLGwWoB,这个标志是何含义？,）十字交叉路口告知,王平 | 新屿 | 环型交叉路口告知 | ）十字交叉路口告知,这个标志是何含义,238,217,
1,216/238,q_L6vNtfuXFuNS,这个标志是何含义？,）十字交叉路口告知,马驹桥廊坊大羊坊 | ）十字交叉路口告知 | 互通式立体交叉告知 | CY形交叉路口告知,这个标志是何含义,238,217,
1,217/238,q_9Mpy2d-Vyi6y,这个标志是何含义？,国道编号,S203 | 国道编号 | 省道编号 | 县道编号,这个标志是何含义,238,217,
1,218/238,q_yVJYhVASSLr5,这个标志是何含义？,不准驶入前方路段,对面可能会有来车 | 可直接驶入此路段 | 不准驶入前方路段 | 进入此路段要减速,这个标志是何含义,238,217,
1,219/238,q_rjKqw_6xLqQi,这个标志是何含义？,警告标志,警告标志 | 禁令标志 | 指示标志 | 指路标志,这个标志是何含义,238,217,
1,220/238,q_YpzCEUmt3ihs,这个标志是何含义？,前方路口不能右转,前方路口不能右转 | 前方路口不能直行 | 前方是十字路口 | 前方路口不能左转,这个标志是何含义,238,217,
1,221/238,q_-csONfEi5bET,这个标志是何含义？,前方路口不能左转,前方路口不能右转 | 前方路口不能直行 | 前方是十字路口 | 前方路口不能左转,这个标志是何含义,238,217,
1,222/238,q_q5Qfjn28fFW_,这个标志是何含义？,小型客车车道,出租车专用车道 | 小型客车车道 | 机动车车道 | 多乘员车辆专用车道,这个标志是何含义,238,217,
1,223/238,q_Birt1LKaug7L,这个标志是何含义？,电动自行车行驶,非机动车车道 | 电动自行车车道 | 非机动车行驶 | 电动自行车行驶,这个标志是何含义,238,217,
1,224/238,q_lwmSrI-OuCFH,这个标志是何含义？,指示非机动车与行人共享空间通行,指示行人骑行通过 | 指示行人推行通过 | 指示非机动车与行人共享空间通行 | 指示非机动车与行人分开空间通D行,这个标志是何含义,238,217,
1,225/238,q_ZnLXW9gc26R5,这个标志是何含义？,指示大型货车通行,大型货车靠右行驶 | 只允许小型汽车行驶 | 只允许货车通行 | 指示大型货车通行,这个标志是何含义,238,217,
1,226/238,q_08kKtXCQJwPg,这个标志是何含义？,硬路肩允许行驶即将结束,前方左转 | 车道数减少 | 硬路肩允许行驶即将结束 | 分流处,这个标志是何含义,238,217,
1,227/238,q_TDMuKFdXsP3J,这个标志是何含义？,预告宽度为3米,3 | 解除3米限宽 | B限制高度为3米 | 预告宽度为3米,这个标志是何含义,238,217,
1,228/238,q_oKk8AXUJbLXy,这个标志是何含义？,十字交叉路口告知,马驹桥廊坊大羊坊 | 十字交叉路口告知 | 互通式立体交叉告知 | CY形交叉路口告知,这个标志是何含义,238,217,
1,229/238,q_j2gUZInlgCTI,这个标志是何含义？,提醒车辆驾驶人前方有两个及以上的连续下坡路段,提醒车辆驾驶人前方有两个及以上的连续上坡路段 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续下坡路段,这个标志是何含义,238,217,
1,230/238,q_Jinq18MFLh98,这个标志是何含义？,旅游区类别,16灵山km | 旅游区类别 | 旅游区距离 | 旅游区方向,这个标志是何含义,238,217,
1,231/238,q_Ost1vm0kzzE7,这个标志是何含义？,观景台,休息区 | 停车场 | 观景台 | 服务区,这个标志是何含义,238,217,
1,232/238,q_BzQLgBeP6KBs,这个标志是何含义？,高速公路入口,国家高速G15 | 高速公路起点 | 高速公路出口 | 高速公路入口,这个标志是何含义,238,217,
1,233/238,q_PxObAwd8OzrL,这个标志是何含义？,高速公路特殊天气最高速度,60km/h | 高速公路特殊天气最高速度 | 高速公路特殊天气建议速度 | 高速公路特殊天气最低速度,这个标志是何含义,238,217,
1,234/238,q_DwFty13GG1ge,这个标志是何含义？,高速公路收费站预告,天目湖 | 高速公路收费站预告 | 高速公路服务区预告 | 高速公路避险处预告,这个标志是何含义,238,217,
1,235/238,q_Rg1WjPWgrQr6,这个标志是何含义？,电子收费ETC,电子收费ETC | 高速公路ETC车道指引 | 高速公路领卡车道指引 | 高速公路缴费车道指引,这个标志是何含义,238,217,
1,236/238,q_SqG3m16pk6uC,这个标志是何含义？,公交车专用车道,快速公交 | 公交车专用车道 | 快速公交系统（BRT）车辆专用车道 | 大型客车专用车道,这个标志是何含义,238,217,
1,237/238,q_aH8FSKnMVQgb,这个标志是何含义？,出租车专用停车位,公交 | 出租车专用停车位 | 公交车专用停车位 | 校车专用停车位,这个标志是何含义,238,217,
1,238/238,q_-WdsdNFeLYDN,这个标志是何含义？,指示大型货车靠右行驶,货车靠右行驶 | 禁止货车通行 | 指示大型货车靠右行驶 | 指示货车靠右行驶,这个标志是何含义,238,217,
2,1/22,q_v-UExJfxotvP,图中交通标志是指（ ）,交叉路口,急弯路 | 交叉路口 | 反向弯路 | 注意合流,图中交通标志是指,22,16,
2,2/22,q_0KnPGg45rfTk,图中交通标志是指（,S304白涧三河,S304白涧三河 | 双塔G102唐山 | 交叉路口预告 | 地点距离,图中交通标志是指,22,16,
2,3/22,q_t1AUSGIBPMNd,图中交通标志是指（,地点指引,昌平 | 顺义 | 地点识别 | 地点指引,图中交通标志是指,22,16,
2,4/22,q_eXWQfj4Z68tR,图中交通标志是指（ ）。,禁止三轮车驶入,禁止电动自行车进入 | 禁止三轮车驶入 | 禁止非机动车进入 | 禁止摩托车驶入,图中交通标志是指,22,16,
2,5/22,q_CutEZlhUBJoh,图中交通标志是指（ ）。,交叉路口,A急弯路 | 交叉路口 | 反向弯路 | 注意合流,图中交通标志是指,22,16,
2,6/22,q_tdibJuA_3zCD,图中交通标志是指（ ）。,燕郊,大厂 | 燕郊 | 地点距离 | 交叉路口预告,图中交通标志是指,22,16,
2,7/22,q_Qp9OZIViW9Y1,图中交通标志是指（ ）。,注意不利气象条件,注意路面结冰 | 注意雨（雪）天 | 注意雾天 | 注意不利气象条件,图中交通标志是指,22,16,
2,8/22,q_vite_P73Fg00,图中交通标志是指（ ）。,公滨路,学府路 | 公滨路 | 黄河路 | 地点距离,图中交通标志是指,22,16,
2,9/22,q_Ju8V8PSz6lFo,图中交通标志是指（ ）。,禁止拖拉机驶入,禁止载货汽车驶入 | 禁止拖拉机驶入 | 禁止三轮汽车、低速货车驶入 | 禁止摩托车驶入,图中交通标志是指,22,16,
2,10/22,q_0aJQ-1Zh9m83,图中交通标志是指（ ）。,禁止行人进入,A行人 | 禁止行人进入 | 注意行人 | 人行横道,图中交通标志是指,22,16,
2,11/22,q_2mICndmCxduz,图中交通标志是指（ ）。,注意雨（雪）天,注意路面结冰 | 注意雨（雪）天 | 注意雾天 | 注意不利气象条件,图中交通标志是指,22,16,
2,12/22,q_Wdk1t17GLdxM,图中交通标志是指（ ）。,注意路面结冰,注意路面结冰 | 注意雨（雪）天 | 注意雾天 | 注意不利气象条件,图中交通标志是指,22,16,
2,13/22,q_qG_aLVdqPGrt,图中交通标志是指（ ）。,注意雨（雪）天,雾 | 注意路面结冰 | 注意雨（雪）天 | 注意雾天,图中交通标志是指,22,16,
2,14/22,q_6mxQoPmVuiBR,图中交通标志是指（ ）。,南直路阜成路学院路,长江路 | 南直路阜成路学院路 | 地点距离 | 交叉路口预告,图中交通标志是指,22,16,
2,15/22,q_ZgpwMlBgGB3A,图中交通标志是指（,左侧绕行,左侧绕行 | 单向通行 | 注意危险 | 右侧绕行,图中交通标志是指,22,16,
2,16/22,q_IAuhvlCERIPp,图中交通标志是指（ ）。,右侧绕行,单向通行 | 右侧绕行 | 注意危险 | 左侧绕行,图中交通标志是指,22,16,
2,17/22,q_Ey6U2tXB8iME,图中交通标志是指（ ）,注意儿童,注意行人 | 人行横道 | 注意儿童 | 学校区域,图中交通标志是指,22,16,
2,18/22,q_WgVkOVr-MLk7,图中交通标志是指（ ）。,交叉路口,急弯路 | 交叉路口 | 反向弯路 | 注意合流,图中交通标志是指,22,16,
2,19/22,q_3o-UsrO0thdB,图中交通标志是指（ ）。,禁止行人进入,行人 | 禁止行人进入 | 注意行人 | 人行横道,图中交通标志是指,22,16,
2,20/22,q_PLBbGvzobaen,图中交通标志是指（ ）。,傍山险路,临崖路 | 堤坝路 | 傍山险路 | 落石路,图中交通标志是指,22,16,
2,21/22,q_MkQl6EQuP9bJ,图中交通标志是指（ ）。,注意儿童,注意行人 | 人行横道 | 注意儿童 | 学校区域,图中交通标志是指,22,16,
2,22/22,q_sU5RAchUWp5-,图中交通标志是指（ ）,左侧绕行,左侧绕行 | 单向通行 | 注意危险 | 右侧绕行,图中交通标志是指,22,16,
3,1/17,q_ZnYr9FUPA0F_,这个标志是什么含义？,左侧通行,左侧通行 | 不准通行 | 两侧通行 | 右侧通行,这个标志是什么含义,17,16,
3,2/17,q_apOx5mgCwoQz,这个标志是什么含义？,观景台,观景台 | 停车场 | 休息区 | 停车位,这个标志是什么含义,17,16,
3,3/17,q_NZ9F1ULIiyR8,这个标志是什么含义？,硬路肩允许行驶终点,禁止硬路肩行驶 | 车道数增加 | 车道数减少 | 硬路肩允许行驶终点,这个标志是什么含义,17,16,
3,4/17,q_3x5a-3cSGjS8,这个标志是什么含义？,电动自行车行驶,非机动车车道 | 电动自行车车道 | 非机动车行驶 | 电动自行车行驶,这个标志是什么含义,17,16,
3,5/17,q_LgB4SazQIRGC,这个标志是什么含义？,小型客车车道,出租车专用车道 | 小型客车车道 | 机动车车道 | 多乘员车辆专用车道,这个标志是什么含义,17,16,
3,6/17,q_utD9Pdy7GH1X,这个标志是什么含义？,高速公路直出车道指引,高速公路直出车道指引 | 高速公路地点距离预告 | 高速公路左侧出口预告 | 高速公路右侧出口预告,这个标志是什么含义,17,16,
3,7/17,q_WApemPbq-FLM,这个标志是什么含义？,不准驶入前方路段,对面可能会有来车 | 可直接驶入此路段 | 不准驶入前方路段 | 进入此路段要减速,这个标志是什么含义,17,16,
3,8/17,q_TFO-si_tuIqI,这个标志是什么含义？,前方路口不能左转,前方路口不能右转 | 前方路口不能直行 | 前方是十字路口 | 前方路口不能左转,这个标志是什么含义,17,16,
3,9/17,q_OF7gYkpfOmgv,这个标志是什么含义？,人工收费车道,高速公路收费站 | 高速公路领卡处 | ETC收费车道 | 人工收费车道,这个标志是什么含义,17,16,
3,10/17,q_begwkTw-035L,这个标志是什么含义？,进入前方路口要停车观察,进入前方路口要加速通过 | 进入前方路口要停车观察 | 进入前方路口要注意车辆 | 进入前方路口要减速慢行,这个标志是什么含义,17,16,
3,11/17,q_2mEmRyeCuq7a,这个标志是什么含义？,观景台,观景台 | 300m | 停车场 | 休息区,这个标志是什么含义,17,16,
3,12/17,q_8BGuNgspWqnP,这个标志是什么含义？,进入前方路口要加速通过,停 | 进入前方路口要加速通过 | 进入前方路口要停车观察 | 进入前方路口要注意车辆,这个标志是什么含义,17,16,
3,13/17,q_r9jMzm4HDPXo,这个标志是什么含义？,前方路口不能直行,前方路口不能右转 | 前方路口不能直行 | 前方是十字路口 | 前方路口不能左转,这个标志是什么含义,17,16,
3,14/17,q_R0GH6dFilmJp,这个标志是什么含义？,禁令标志,警告标志 | 禁令标志 | 指示标志 | 指路标志,这个标志是什么含义,17,16,
3,15/17,q_G1Ki7u0ERKBZ,这个标志是什么含义？,错误,正确 | 错误,这个标志是什么含义,17,16,
3,16/17,q_SQyTM-liEQwg,这个标志是什么含义？,B进入前方路口要停车让行,让 | A进入前方路口要注意观察 | B进入前方路口要停车让行 | 进入前方路口要减速让行,这个标志是什么含义,17,16,
3,17/17,q_9SLvVl-y2BYa,这个标志是什么含义？,前方路口只能直行,前方路口只能右转 | 前方路口只能左转 | 前方路口只能直行 | 前方是T形交叉路口,这个标志是什么含义,17,16,
4,1/14,q_j27tokTswhsK,机动车仪表板上如图所示指示灯亮表示什么？,已开启前照灯远光,已开启前照灯近光 | 已开启前雾灯 | 已开启前照灯远光 | 已开启后雾灯,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,2/14,q_fJ8tTD-fGIJQ,机动车仪表板上如图所示指示灯亮表示什么？,没有系好安全带,没有系好安全带 | 安全带出现故障 | 已经系好安全带 | 安全带系得过松,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,3/14,q_9fc9JkPwHWvf,机动车仪表板上如图所示指示灯亮表示什么？,前雾灯打开,前雾灯打开 | 后雾灯打开 | 前照灯近光打开 | 前照灯远光打开,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,4/14,q_V88oIhvu3s3h,机动车仪表板上如图所示指示灯亮表示什么？,前后位置灯开启,危险报警闪光灯开启 | 前照灯开启 | 前后位置灯开启 | 前后雾灯开启,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,5/14,q_9u0j90PNQkTt,机动车仪表板上如图所示指示灯亮表示什么？,制动系统出现异常,制动踏板没回位 | 驻车制动解除 | 行车制动器失效 | 制动系统出现异常,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,6/14,q_ItPP0jJZanrm,机动车仪表板上如图所示指示灯亮表示什么？,防抱死制动系统故障,防抱死制动系统故障 | 驻车制动器处于解除状态 | 安全气囊处于故障状态 | 行车制动系统故障,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,7/14,q_R8vu69XyExKS,机动车仪表板上如图所示指示灯亮表示什么？,驻车制动器处于制动状态,行车制动系统出现故障 | 驻车制动器处于制动状态 | 防抱死制动系统出现故障 | 驻车制动器处于解除状态,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,8/14,q_DS_p0a92eIv0,机动车仪表板上如图所示指示灯亮表示什么？,危险报警闪光灯闪烁,右转向指示灯闪烁 | 危险报警闪光灯闪烁 | 左转向指示灯闪烁 | 车前后位置灯闪烁,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,9/14,q_y2DzBVvACXnK,机动车仪表板上如图所示指示灯亮表示什么？,左转向指示灯闪烁,车前后位置灯亮起 | 右转向指示灯闪烁 | 左转向指示灯闪烁 | 车前后示宽灯亮起,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,10/14,q_twbcy8kDv_8m,机动车仪表板上如图所示指示灯亮表示什么？,充电电路故障,充电电流过大 | 蓄电池损坏 | 电流表故障 | 充电电路故障,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,11/14,q_K74PJGInJDKQ,机动车仪表板上如图所示指示灯亮表示什么？,冷却液不足,制动液不足 | 洗涤液不足 | 冷却系统故障 | 冷却液不足,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,12/14,q_tYg89Lza0KOv,机动车仪表板上如图所示指示灯亮表示什么？,已开启前照灯近光,已开启前照灯远光 | 已开启前雾灯 | 已开启后雾灯 | 已开启前照灯近光,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,13/14,q_VUeXzN0psglF,机动车仪表板上如图所示指示灯亮表示什么？,后雾灯打开,前雾灯打开 | 后雾灯打开 | 前照灯近光打开 | 前照灯远光打开,机动车仪表板上如图所示指示灯亮表示什么,14,14,
4,14/14,q_1tIScU0f7GyU,机动车仪表板上如图所示指示灯亮表示什么？,ABS,ABS | 防抱死制动系统故障 | 驻车制动器处于解除状态 | 安全气囊处于故障状态,机动车仪表板上如图所示指示灯亮表示什么,14,14,
5,1/13,q_D5SFu4Ei5hbk,遇到图中所示的情况，应怎样行驶？,在停止线以外停车等待行人通过,从行人的前方绕行通过路口 | 在停止线以外停车等待行人通过 | 鸣喇叭告知行人停止通过路口 | 可以从两个行人中间低速缓慢穿过,遇到图中所示的情况应怎样行驶,13,8,
5,2/13,q_sx4ewxeNKmY0,遇到图中所示的情况，应怎样行驶？,等待两个行人都通过路口再右转弯,加速在第一个行人的前方向右转弯 | 绕到第一个行人的后方向右转弯 | 等待两个行人都通过路口再右转弯 | 鸣喇叭让行人停止通过后向右转弯,遇到图中所示的情况应怎样行驶,13,8,
5,3/13,q_sogMphajIrMq,遇到图中所示的情况，应怎样行驶？,与前车保持安全距离跟车行驶,可以借右侧应急车道行驶 | 与前车保持安全距离跟车行驶 | 紧跟左侧车道绿色小客车行驶 | 鸣喇叭或变换远近光灯催促,遇到图中所示的情况应怎样行驶,13,8,
5,4/13,q_0y7etqtQ6LJt,遇到图中所示的情况，应怎样行驶？,等待对面车辆直行通过后再向左转弯,如果已经越过停止线就可以加速向左转弯 | 不用考虑对面车辆直接向左转弯 | 只要不影响左侧车辆直行就可以左转弯 | 等待对面车辆直行通过后再向左转弯,遇到图中所示的情况应怎样行驶,13,8,
5,5/13,q_hhVBJ0oOSQNY,遇到图中所示的情况，应怎样行驶？,等待两个行人都通过路口再右转弯,加速在第一个行人的前方向右转A弯 | 绕到第一个行人的后方向右转弯 | 等待两个行人都通过路口再右转弯 | 鸣喇叭让行人停止通过后向右转D弯,遇到图中所示的情况应怎样行驶,13,8,
5,6/13,q_Wt-FS3pJ4W_C,遇到图中所示的情况，应怎样行驶？,在停止线以外停车等待行人通过,从行人的前方绕行通过路口 | 在停止线以外停车等待行人通过 | 鸣喇叭告知行人停止通过路口 | 可以从两个行人中间低速缓慢穿D过,遇到图中所示的情况应怎样行驶,13,8,
5,7/13,q_DqGrx0CCqYrc,遇到图中所示的情况，应怎样行驶？,提前减速观察确认是否能安全通过,只要没有行人横过就可以加速通A过 | 提前减速观察确认是否能安全通过 | 鸣喇叭告知两边的行人和非机动车 | 如果来不及减速就直接按常速通过,遇到图中所示的情况应怎样行驶,13,8,
